MP ID	MP Label	MeSH ID	MeSH Label	HP ID	HP Label	Mapping Source	Notes
MP:0001951	abnormal breathing pattern			HP:0002793	Abnormal pattern of respiration	Manual	Nice example
MP:0004231	abnormal calcium ion homeostasis						
MP:0020879	abnormal calcium level	D002118	Calcium			Manual	
MP:0002972	abnormal cardiac muscle contractility						
MP:0002127	abnormal cardiovascular system morphology	D002319	Cardiovascular System			LOOM	
MP:0002127	abnormal cardiovascular system morphology			HP:0030680	Abnormality of cardiovascular system morphology	Manual	
MP:0001544	abnormal cardiovascular system physiology			HP:0011025	Abnormal cardiovascular system physiology	LOOM	
MP:0002421	abnormal cell-mediated immunity						
MP:0012007	abnormal chloride level	D002712	Chlorides				
MP:0005278	abnormal cholesterol homeostasis			HP:0003107	Abnormal circulating cholesterol concentration	LOOM	
MP:0003947	abnormal cholesterol level	D002784	Cholesterol			Manual	
MP:0000184	abnormal circulating HDL cholesterol level	D008076	Cholesterol, HDL	HP:0031888	Abnormal HDL cholesterol concentration	Manual	
MP:0000181	abnormal circulating LDL cholesterol level	D008078	Cholesterol, LDL	HP:0031886	Abnormal LDL cholesterol concentration	Manual	
MP:0001573	abnormal circulating alanine transaminase level	D000410	Alanine Transaminase			Manual	
MP:0000202	abnormal circulating alkaline phosphatase level	D000469	Alkaline Phosphatase	HP:0004379	Abnormality of alkaline phosphatase level	Manual	
MP:0005311	abnormal circulating amino acid level	D000596	Amino Acids	HP:0003112	Abnormal circulating amino acid concentration	Manual	
MP:0008804	abnormal circulating amylase level			HP:0410282	Abnormal circulating amylase level	LOOM	
MP:0008804	abnormal circulating amylase level	D000681	Amylases			Manual	
MP:0000203	abnormal circulating aspartate transaminase level	D001219	Aspartate Aminotransferases			Manual	
MP:0001569	abnormal circulating bilirubin level	D001663	Bilirubin	HP:0033479	Abnormal circulating bilirubin concentration	Manual	
MP:0001562	abnormal circulating calcium level	D002118	Calcium	HP:0004363	Abnormal circulating calcium concentration	Manual	
MP:0003018	abnormal circulating chloride level	D002712	Chlorides	HP:0011422	Abnormal blood chloride concentration	Manual	
MP:0000180	abnormal circulating cholesterol level	D002784	Cholesterol	HP:0003107	Abnormal circulating cholesterol concentration	Manual	
MP:0005328	abnormal circulating creatinine level			HP:0012100	Abnormal circulating creatinine concentration	LOOM	
MP:0005328	abnormal circulating creatinine level	D003404	Creatinine			Manual	
MP:0001570	abnormal circulating enzyme level	D004798	Enzymes	HP:0011021	Abnormality of circulating enzyme level	Manual	
MP:0010086	abnormal circulating fructosamine level	D019270	Fructosamine			Manual	
MP:0000188	abnormal circulating glucose level	D005947	Glucose	HP:0011015	Abnormal blood glucose concentration	Manual	
MP:0011973	abnormal circulating glycerol level			HP:0031795	Abnormal circulating glycerol level	LOOM	
MP:0011973	abnormal circulating glycerol level	D005990	Glycerol			Manual	
MP:0005418	abnormal circulating hormone level			HP:0003117	Abnormal circulating hormone level	LOOM	
MP:0005418	abnormal circulating hormone level	D006728	Hormones			Manual	
MP:0001560	abnormal circulating insulin level			HP:0040215	Abnormal circulating insulin level	LOOM	
MP:0001560	abnormal circulating insulin level	D007328	Insulin			Manual	
MP:0004152	abnormal circulating iron level	D007501	Iron			Manual	
MP:0003949	abnormal circulating lipid level	D008055	Lipids	HP:0003119	Abnormal circulating lipid concentration	Manual	
MP:0010330	abnormal circulating lipoprotein level	D008074	Lipoproteins			Manual	
MP:0001771	abnormal circulating magnesium level	D008274	Magnesium	HP:0004921	Abnormal magnesium concentration	Manual	
MP:0006357	abnormal circulating mineral level	D008903	Minerals			Manual	
MP:0020151	abnormal circulating non-HDL cholesterol level						
MP:0001565	abnormal circulating phosphate level	D010710	Phosphates	HP:0100529	Abnormal blood phosphate concentration	Manual	
MP:0002668	abnormal circulating potassium level	D011188	Potassium	HP:0011042	Abnormal blood potassium concentration	Manual	
MP:0005416	abnormal circulating protein level			HP:0010876	Abnormal circulating protein level	LOOM	
MP:0005416	abnormal circulating protein level	D011506	Proteins			Manual	
MP:0000199	abnormal circulating serum albumin level	D012709	Serum Albumin			Manual	
MP:0001776	abnormal circulating sodium level	D012964	Sodium	HP:0010931	Abnormal blood sodium concentration	Manual	
MP:0011888	abnormal circulating total protein level						
MP:0011969	abnormal circulating triglyceride level	D014280	Triglycerides			Manual	
MP:0001510	abnormal coat appearance						
MP:0000367	abnormal coat/ hair morphology	D006197	Hair	HP:0001595	Abnormal hair morphology	Manual	
MP:0002075	abnormal coat/hair pigmentation	D006200	Hair Color	HP:0009887	Abnormality of hair pigmentation	Manual	
MP:0014114	abnormal cognition	D003071	Cognition			LOOM	
MP:0014114	abnormal cognition			HP:0100543	Cognitive impairment	Manual	Nice example
MP:0002069	abnormal consumption behavior			HP:0040202	Abnormal consumption behavior	LOOM	
MP:0001469	abnormal contextual conditioning behavior						
MP:0003062	abnormal coping response						
MP:0001312	abnormal cornea morphology	D003315	Cornea	HP:0000481	Abnormal cornea morphology	LOOM	
MP:0011961	abnormal cornea thickness			HP:0011486	Abnormality of corneal thickness	Manual	
MP:0001056	abnormal cranial nerve morphology	D003391	Cranial Nerves	HP:0001291	Abnormal cranial nerve morphology	LOOM	
MP:0002116	abnormal craniofacial bone morphology						
MP:0000428	abnormal craniofacial morphology	D019465	Craniofacial Abnormalities			Manual	
MP:0000438	abnormal cranium morphology	D012886	Skull	HP:0002648	Abnormality of calvarial morphology	LOOM	
MP:0001454	abnormal cued conditioning behavior						
MP:0030254	abnormal dental arch morphology	D003724	Dental Arch			LOOM	
MP:0003360	abnormal depression-related behavior	D003863	Depression	HP:0000716	Depression	Manual	
MP:0002110	abnormal digit morphology			HP:0011297	Abnormal digit morphology	LOOM	
MP:0002102	abnormal ear morphology	D004423	Ear	HP:0031703	Abnormal ear morphology	LOOM	
MP:0003878	abnormal ear physiology			HP:0031704	Abnormal ear physiology	LOOM	
MP:0001431	abnormal eating behavior	D005247	Feeding Behavior	HP:0100738	Abnormal eating behavior	LOOM	
MP:0002435	abnormal effector T cell morphology						
MP:0013762	abnormal effector T cell number						
MP:0002572	abnormal emotion/affect behavior			HP:0100851	Abnormal emotion/affect behavior	LOOM	
MP:0005319	abnormal enzyme/coenzyme level						
MP:0002602	abnormal eosinophil cell number			HP:0020064	Abnormal eosinophil count	Manual	
MP:0005061	abnormal eosinophil morphology	D004804	Eosinophils	HP:0001879	Abnormal eosinophil morphology	LOOM	
MP:0001586	abnormal erythrocyte cell number						
MP:0002447	abnormal erythrocyte morphology	D004912	Erythrocytes	HP:0001877	Abnormal erythrocyte morphology	LOOM	
MP:0013659	abnormal erythroid lineage cell morphology			HP:0012130	Abnormal erythroid lineage cell morphology	LOOM	
MP:0013189	abnormal exploration in a new environment						
MP:0009389	abnormal extracutaneous pigmentation						
MP:0011960	abnormal eye anterior chamber depth						
MP:0005205	abnormal eye anterior chamber morphology	D000867	Anterior Chamber	HP:0000593	Abnormal anterior chamber morphology	Manual	
MP:0001286	abnormal eye development						
MP:0002092	abnormal eye morphology	D005123	Eye	HP:0012372	Abnormal eye morphology	LOOM	
MP:0005253	abnormal eye physiology			HP:0012373	Abnormal eye physiology	LOOM	
MP:0001324	abnormal eye pigmentation	D005127	Eye Color	HP:0008034	Abnormal iris pigmentation	Manual	Nice example (iris is part of the eye)
MP:0003671	abnormal eyelid aperture						
MP:0001340	abnormal eyelid morphology	D005143	Eyelids	HP:0000492	Abnormal eyelid morphology	LOOM	
MP:0003743	abnormal facial morphology	D005145	Face	HP:0001999	Abnormal facial shape	Manual	
MP:0002065	abnormal fear/anxiety-related behavior			HP:0100852	Abnormal fear/anxiety-related behavior	LOOM	
MP:0005449	abnormal food intake	D004435	Eating	HP:0100738	Abnormal eating behavior	Manual	
MP:0020420	abnormal freezing behavior						
MP:0001406	abnormal gait	D005684	Gait	HP:0001288	Gait disturbance	LOOM	
MP:0003948	abnormal gas homeostasis						
MP:0002078	abnormal glucose homeostasis			HP:0011014	Abnormal glucose homeostasis	LOOM	
MP:0005291	abnormal glucose tolerance	D018149	Glucose Intolerance	HP:0001952	Glucose intolerance	Manual	Nice example
MP:0003439	abnormal glycerol level	D005990	Glycerol			Manual	
MP:0002441	abnormal granulocyte morphology	D006098	Granulocytes	HP:0001911	Abnormal granulocyte morphology	LOOM	
MP:0020201	abnormal granulocyte number			HP:0032309	Abnormal granulocyte count	Manual	
MP:0001515	abnormal grip strength						
MP:0002073	abnormal hair growth			HP:0040170	Abnormality of hair growth	Manual	
MP:0000432	abnormal head morphology	D006257	Head			LOOM	
MP:0000432	abnormal head morphology			HP:0000234	Abnormality of the head	Manual	
MP:0006335	abnormal hearing electrophysiology						
MP:0001963	abnormal hearing physiology						
MP:0010508	abnormal heart electrocardiography waveform feature						
MP:0003921	abnormal heart left ventricle morphology			HP:0001711	Abnormal left ventricle morphology	LOOM	
MP:0003921	abnormal heart left ventricle morphology	D006352	Heart Ventricles			Manual	
MP:0010578	abnormal heart left ventricle size						
MP:0000266	abnormal heart morphology	D006321	Heart	HP:0001627	Abnormal heart morphology	LOOM	
MP:0001629	abnormal heart rate	D006339	Heart Rate	HP:0011675	Arrhythmia	LOOM	
MP:0005406	abnormal heart size						
MP:0005294	abnormal heart ventricle morphology	D006352	Heart Ventricles			LOOM	
MP:0005294	abnormal heart ventricle morphology			HP:0001713	Abnormal cardiac ventricle morphology	Manual	Nice example
MP:0020135	abnormal heart ventricle wall thickness						
MP:0004857	abnormal heart weight						
MP:0004085	abnormal heartbeat	D006339	Heart Rate			LOOM	
MP:0004085	abnormal heartbeat			HP:0011675	Arrhythmia	Manual	
MP:0002596	abnormal hematocrit	D006400	Hematocrit	HP:0031850	Abnormal hematocrit	LOOM	
MP:0013656	abnormal hematopoietic cell morphology						
MP:0011180	abnormal hematopoietic cell number						
MP:0002396	abnormal hematopoietic system morphology/development			HP:0001871	Abnormality of blood and blood-forming tissues	Manual	
MP:0001545	abnormal hematopoietic system physiology						
MP:0001588	abnormal hemoglobin	D006454	Hemoglobins	HP:0011902	Abnormal hemoglobin	LOOM	
MP:0005563	abnormal hemoglobin content						
MP:0002138	abnormal hepatobiliary system morphology						
MP:0000556	abnormal hindlimb morphology	D006614	Hindlimb			LOOM	
MP:0003857	abnormal hindlimb zeugopod morphology						
MP:0001764	abnormal homeostasis	D006706	Homeostasis	HP:0012337	Abnormal homeostasis	LOOM	
MP:0003953	abnormal hormone level	D006728	Hormones			Manual	
MP:0001800	abnormal humoral immune response	D056724	Immunity, Humoral|			LOOM	
MP:0001819	abnormal immune cell physiology						
MP:0002723	abnormal immune serum protein physiology						
MP:0000716	abnormal immune system cell morphology						
MP:0000685	abnormal immune system morphology	D007107	Immune System	HP:0032251	Abnormal immune system morphology	LOOM	
MP:0002722	abnormal immune system organ morphology						
MP:0001790	abnormal immune system physiology			HP:0010978	Abnormality of immune system physiology	Manual	
MP:0002490	abnormal immunoglobulin level			HP:0010701	Abnormal immunoglobulin level	LOOM	
MP:0002490	abnormal immunoglobulin level	D007136	Immunoglobulins			Manual	
MP:0003137	abnormal impulse conducting system conduction						
MP:0003492	abnormal involuntary movement	D020820	Dyskinesias			LOOM	
MP:0001765	abnormal ion homeostasis			HP:0003111	Abnormal blood ion concentration	Manual	
MP:0001322	abnormal iris morphology	D007498	Iris			LOOM	
MP:0005637	abnormal iron homeostasis			HP:0011031	Abnormality of iron homeostasis	Manual	
MP:0001770	abnormal iron level	D007501	Iron			Manual	
MP:0000454	abnormal jaw morphology	D007568	Jaw	HP:0030791	Abnormal jaw morphology	LOOM	
MP:0002932	abnormal joint morphology	D007596	Joints	HP:0001367	Abnormal joint morphology	LOOM	
MP:0002943	abnormal lactate dehydrogenase level			HP:0045040	Abnormal lactate dehydrogenase level	LOOM	
MP:0002943	abnormal lactate dehydrogenase level	D007770	L-Lactate Dehydrogenase			Manual	
MP:0003959	abnormal lean body mass						
MP:0002063	abnormal learning/memory/conditioning						
MP:0005545	abnormal lens development						
MP:0001303	abnormal lens morphology	D007908	Lens, Crystalline			Manual	Eye Lens
MP:0000217	abnormal leukocyte cell number			HP:0011893	Abnormal leukocyte count	Manual	
MP:0008246	abnormal leukocyte morphology	D007962	Leukocytes	HP:0001881	Abnormal leukocyte morphology	LOOM	
MP:0002442	abnormal leukocyte physiology			HP:0033796	Abnormal leukocyte physiology	Manual	
MP:0002115	abnormal limb bone morphology			HP:0002813	Abnormality of limb bone morphology	Manual	
MP:0011504	abnormal limb long bone morphology						
MP:0002109	abnormal limb morphology	D005121	Extremities			LOOM	
MP:0002118	abnormal lipid homeostasis						
MP:0001547	abnormal lipid level	D008055	Lipids			Manual	
MP:0010329	abnormal lipoprotein level	D008074	Lipoproteins			Manual	
MP:0000598	abnormal liver morphology	D008099	Liver	HP:0410042	Abnormal liver morphology	LOOM	
MP:0004848	abnormal liver size						
MP:0004847	abnormal liver weight						
MP:0003313	abnormal locomotor activation						
MP:0001392	abnormal locomotor behavior						
MP:0003312	abnormal locomotor coordination						
MP:0003723	abnormal long bone morphology			HP:0011314	Abnormality of long bone morphology	Manual	
MP:0002333	abnormal lung compliance	D008170	Lung Compliance			LOOM	
MP:0001175	abnormal lung morphology	D008168	Lung	HP:0002088	Abnormal lung morphology	LOOM	
MP:0004881	abnormal lung size						
MP:0005629	abnormal lung weight						
MP:0002221	abnormal lymph organ size						
MP:0000717	abnormal lymphocyte cell number			HP:0040088	Abnormal lymphocyte count	Manual	
MP:0002619	abnormal lymphocyte morphology	D008214	Lymphocytes	HP:0004332	Abnormal lymphocyte morphology	LOOM	
MP:0003945	abnormal lymphocyte physiology			HP:0031409	Abnormal lymphocyte physiology	LOOM	
MP:0011979	abnormal magnesium ion homeostasis						
MP:0020883	abnormal magnesium level	D008274	Magnesium	HP:0004921	Abnormal magnesium concentration	Manual	
MP:0001589	abnormal mean corpuscular hemoglobin	D004909	Erythrocyte Indices			LOOM	
MP:0005640	abnormal mean corpuscular hemoglobin concentration			HP:0025546	Abnormal mean corpuscular hemoglobin concentration	LOOM	
MP:0000226	abnormal mean corpuscular volume	D004909	Erythrocyte Indices	HP:0025065	Abnormal mean corpuscular volume	LOOM	
MP:0013512	abnormal memory-marker CD4-negative NK T cell number						
MP:0005636	abnormal mineral homeostasis						
MP:0000192	abnormal mineral level	D008903	Minerals			Manual	
MP:0012441	abnormal monocyte cell number			HP:0012310	Abnormal monocyte count	Manual	
MP:0002620	abnormal monocyte morphology	D009000	Monocytes	HP:0012144	Abnormal monocyte morphology	LOOM	
MP:0008247	abnormal mononuclear cell morphology						
MP:0008248	abnormal mononuclear phagocyte morphology						
MP:0002066	abnormal motor capabilities/coordination/movement						
MP:0001516	abnormal motor coordination/balance						
MP:0000452	abnormal mouth morphology	D009055	Mouth			LOOM	"Adolescent/D000293 incorrect mapping of ""mouth"" <=> ""youth"""
MP:0000452	abnormal mouth morphology			HP:0031816	Abnormal oral morphology	Manual	
MP:0005620	abnormal muscle contractility						
MP:0002106	abnormal muscle physiology			HP:0011804	Abnormal muscle physiology	LOOM	
MP:0002414	abnormal myeloblast morphology/development	D042381	Granulocyte Precursor Cells			Manual	
MP:0013658	abnormal myeloid cell morphology	D022423	Myeloid Cells	HP:0020047	Abnormal myeloid cell morphology	LOOM	
MP:0013661	abnormal myeloid cell number						
MP:0008250	abnormal myeloid leukocyte morphology			HP:0010974	Abnormal myeloid leukocyte morphology	LOOM	
MP:0003632	abnormal nervous system morphology	D009420	Nervous System	HP:0012639	Abnormal nervous system morphology	LOOM	
MP:0003633	abnormal nervous system physiology	D009424	Nervous System Physiological Phenomena	HP:0012638	Abnormal nervous system physiology	LOOM	
MP:0012440	abnormal neutrophil cell number			HP:0011991	Abnormal neutrophil count	LOOM	
MP:0005065	abnormal neutrophil morphology	D009504	Neutrophils			LOOM	
MP:0005065	abnormal neutrophil morphology			HP:0011992	Abnormality of neutrophil morphology	Manual	
MP:0002864	abnormal ocular fundus morphology						
MP:0008259	abnormal optic disk morphology	D009898	Optic Disk			LOOM	
MP:0001330	abnormal optic nerve morphology	D009900	Optic Nerve			LOOM	
MP:0001330	abnormal optic nerve morphology			HP:0000587	Abnormality of the optic nerve	Manual	
MP:0008251	abnormal phagocyte morphology	D010586	Phagocytes			LOOM	
MP:0020885	abnormal phosphate level	D010710	Phosphates			Manual	
MP:0004262	abnormal physical strength						
MP:0001485	abnormal pinna reflex						
MP:0006241	abnormal placement of pupils						
MP:0011898	abnormal platelet cell number			HP:0011873	Abnormal platelet count	Manual	
MP:0004720	abnormal platelet morphology	D001792	Blood Platelets	HP:0011875	Abnormal platelet morphology	LOOM	
MP:0002586	abnormal platelet volume			HP:0011876	Abnormal platelet volume	LOOM	
MP:0005195	abnormal posterior eye segment morphology	D057972	Posterior Eye Segment	HP:0004329	Abnormal posterior eye segment morphology	LOOM	
MP:0002089	abnormal postnatal growth/weight/body size						
MP:0002980	abnormal postural reflex			HP:0033329	Abnormal postural reflex	LOOM	
MP:0001504	abnormal posture	D011187	Posture			LOOM	
MP:0011978	abnormal potassium ion homeostasis						
MP:0020887	abnormal potassium level	D011188	Potassium			Manual	
MP:0003088	abnormal prepulse inhibition	D065808	Prepulse Inhibition			LOOM	
MP:0002452	abnormal professional antigen presenting cell physiology						
MP:0008469	abnormal protein level						
MP:0005572	abnormal pulmonary respiratory rate						
MP:0002338	abnormal pulmonary ventilation	D012123	Pulmonary Ventilation			LOOM	
MP:0001317	abnormal pupil morphology	D011680	Pupil	HP:0000615	Abnormal pupil morphology	LOOM	
MP:0010066	abnormal red blood cell distribution width						
MP:0001961	abnormal reflex	D012018	Reflex	HP:0031826	Abnormal reflex	LOOM	
MP:0005502	abnormal renal/urinary system physiology			HP:0011277	Abnormality of the urinary system physiology	Manual	
MP:0001943	abnormal respiration	D012119	Respiration	HP:0002795	Functional respiratory abnormality	LOOM	
MP:0002327	abnormal respiratory function						
MP:0002314	abnormal respiratory mechanics	D015656	Respiratory Mechanics			LOOM	
MP:0004129	abnormal respiratory quotient						
MP:0002132	abnormal respiratory system morphology	D012137	Respiratory System	HP:0012252	Abnormal respiratory system morphology	LOOM	
MP:0002133	abnormal respiratory system physiology			HP:0002795	Abnormal respiratory system physiology	Manual	
MP:0001413	abnormal response to new environment						
MP:0003107	abnormal response to novelty						
MP:0001325	abnormal retina morphology	D012160	Retina	HP:0000479	Abnormal retinal morphology	LOOM	Tretinoin/D014212 incorrect
MP:0003733	abnormal retinal inner nuclear layer morphology						
MP:0003727	abnormal retinal layer morphology						
MP:0006069	abnormal retinal neuronal layer morphology						
MP:0003731	abnormal retinal outer nuclear layer morphology						
MP:0002792	abnormal retinal vasculature morphology	D012171	Retinal Vessels			LOOM	
MP:0002792	abnormal retinal vasculature morphology			HP:0008046	Abnormal retinal vascular morphology	Manual	
MP:0000150	abnormal rib morphology	D012272	Ribs			LOOM	
MP:0000150	abnormal rib morphology			HP:0000772	Abnormal rib morphology	Manual	Not sure why LOOM didn't find this one?
MP:0002862	abnormal righting response	D057897	Reflex, Righting			LOOM	
MP:0002067	abnormal sensory capabilities/reflexes/nociception						
MP:0004122	abnormal sinus arrhythmia	D001146	Arrhythmia, Sinus			LOOM	
MP:0005508	abnormal skeleton morphology	D012863	Skeleton			LOOM	
MP:0010678	abnormal skin adnexa morphology			HP:0011138	Abnormality of skin adnexa morphology	Manual	
MP:0011239	abnormal skin coloration	D012880	Skin Pigmentation	HP:0001000	Abnormality of skin pigmentation 	Manual	
MP:0002060	abnormal skin morphology	D012867	Skin	HP:0011121	Abnormality of skin morphology	LOOM	
MP:0002095	abnormal skin pigmentation	D012880	Skin Pigmentation	HP:0001000	Abnormality of skin pigmentation	LOOM	
MP:0011396	abnormal sleep behavior						
MP:0000443	abnormal snout morphology						
MP:0011977	abnormal sodium ion homeostasis						
MP:0020889	abnormal sodium level	D012964	Sodium			Manual	
MP:0002752	abnormal somatic nervous system morphology						
MP:0004174	abnormal spine curvature			HP:0010674	Abnormality of the curvature of the vertebral column	Manual	
MP:0000689	abnormal spleen morphology	D013154	Spleen	HP:0025408	Abnormal spleen morphology	LOOM	
MP:0002224	abnormal spleen size						
MP:0004951	abnormal spleen weight						
MP:0001486	abnormal startle reflex	D013216	Reflex, Startle			LOOM	
MP:0001388	abnormal stationary movement						
MP:0012224	abnormal sterol level	D013261	Sterols			Manual	
MP:0003635	abnormal synaptic transmission	D009435	Synaptic Transmission	HP:0012535	Abnormal synaptic transmission	LOOM	
MP:0011655	abnormal systemic artery morphology			HP:0011004	Abnormal systemic arterial morphology	LOOM	
MP:0002111	abnormal tail morphology	D013623	Tail			LOOM	
MP:0001391	abnormal tail movements						
MP:0001468	abnormal temporal memory						
MP:0004624	abnormal thoracic cage morphology						
MP:0000558	abnormal tibia morphology	D013977	Tibia			LOOM	
MP:0000558	abnormal tibia morphology			HP:0002992	Abnormality of tibia morphology	Manual	
MP:0002100	abnormal tooth morphology	D014070	Tooth			LOOM	
MP:0002100	abnormal tooth morphology			HP:0006482	Abnormality of dental morphology	Manual	
MP:0011963	abnormal total retina thickness						
MP:0012321	abnormal total tissue mass						
MP:0000187	abnormal triglyceride level	D014280	Triglycerides			Manual	
MP:0001756	abnormal urination	D014554	Urination			LOOM	
MP:0009643	abnormal urine homeostasis			HP:0003110	Abnormality of urine homeostasis	Manual	
MP:0006315	abnormal urine protein level			HP:0020129	Abnormal urine protein level	LOOM	
MP:0005197	abnormal uvea morphology	D014602	Uvea	HP:0000553	Abnormal uvea morphology	LOOM	
MP:0000137	abnormal vertebrae morphology	D013131	Spine	HP:0003468	Abnormal vertebral morphology	LOOM	
MP:0004599	abnormal vertebral arch morphology			HP:0008438	Vertebral arch anomaly	Manual	
MP:0004703	abnormal vertebral column morphology	D013131	Spine			LOOM	
MP:0004703	abnormal vertebral column morphology			HP:0000925	Abnormality of the vertebral column	Manual	
MP:0020167	abnormal vertical activity						
MP:0005274	abnormal viscerocranium morphology						
MP:0002699	abnormal vitreous body morphology	D014822	Vitreous Body			LOOM	
MP:0001529	abnormal vocalization	D014828	Vocalization, Animal			Manual	
MP:0003491	abnormal voluntary movement						
MP:0005270	abnormal zygomatic bone morphology			HP:0010668	Abnormal zygomatic bone morphology	Manual	Not sure why LOOM didn't find this one?
MP:0006358	absent pinna reflex						
MP:0005375	adipose tissue phenotype	D000273	Adipose Tissue			Manual	
MP:0010463	aorta stenosis						
MP:0006135	artery stenosis						
MP:0010519	atrioventricular block	D054537	Atrioventricular Block	HP:0001678	Atrioventricular block	LOOM	
MP:0005386	behavior/neurological phenotype						
MP:0002544	brachydactyly	D059327	Brachydactyly	HP:0001156	Brachydactyly	LOOM	
MP:0005385	cardiovascular system phenotype	D002319	Cardiovascular System			Manual	
MP:0001304	cataract	D002386	Cataract	HP:0000518	Cataract	LOOM	
MP:0001314	corneal opacity	D003318	Corneal Opacity	HP:0007957	Corneal opacity	LOOM	
MP:0005382	craniofacial phenotype						
MP:0013510	decreased CD4-negative NK T cell number						
MP:0002492	decreased IgE level						
MP:0008040	decreased NK T cell number						
MP:0005018	decreased T cell number						
MP:0001364	decreased anxiety-related response						
MP:0002607	decreased basophil cell number			HP:0031808	Decreased basophil count	Manual	
MP:0005566	decreased blood urea nitrogen level			HP:0031969	Reduced blood urea nitrogen	Manual	
MP:0001258	decreased body length						
MP:0001265	decreased body size					LOOM	MeSH removed
MP:0001262	decreased body weight			HP:0004325	Decreased body weight	LOOM	MeSH removed
MP:0010124	decreased bone mineral content					LOOM	MeSH removed
MP:0000063	decreased bone mineral density			HP:0004349	Reduced bone mineral density	LOOM	
