Gene stable ID,Gene stable ID version,Gene start (bp),Gene end (bp),Chromosome/scaffold name,Gene name,Mouse gene stable ID,Mouse gene name,Mouse chromosome/scaffold name,Mouse chromosome/scaffold start (bp),Mouse chromosome/scaffold end (bp),Mouse homology type,"Mouse orthology confidence [0 low, 1 high]",Mouse Whole-genome alignment coverage
ENSG00000143127,ENSG00000143127.13,145891208,145910111,1,ITGA10,ENSMUSG00000090210,Itga10,3,96645584,96664519,ortholog_one2one,1,100.00
ENSG00000131779,ENSG00000131779.11,145911350,145918717,1,PEX11B,ENSMUSG00000028102,Pex11b,3,96635376,96645366,ortholog_one2one,1,100.00
ENSG00000265241,ENSG00000265241.7,145917714,145927678,1,RBM8A,ENSMUSG00000038374,Rbm8a,3,96629933,96633791,ortholog_one2many,1,100.00
ENSG00000265241,ENSG00000265241.7,145917714,145927678,1,RBM8A,ENSMUSG00000078184,Rbm8a2,1,175977777,175979114,ortholog_one2many,0,0.00
ENSG00000271601,ENSG00000271601.4,145933423,145958017,1,LIX1L,ENSMUSG00000049288,Lix1l,3,96601149,96626171,ortholog_one2one,1,100.00
ENSG00000272031,ENSG00000272031.3,145959441,145964575,1,ANKRD34A,ENSMUSG00000049097,Ankrd34a,3,96596636,96599775,ortholog_one2one,1,100.00
ENSG00000265972,ENSG00000265972.6,145992435,145996579,1,TXNIP,ENSMUSG00000038393,Txnip,3,96557957,96561883,ortholog_one2one,1,100.00
ENSG00000168509,ENSG00000168509.20,146017468,146036746,1,HJV,ENSMUSG00000038403,Hjv,3,96525172,96529210,ortholog_one2one,1,100.00
ENSG00000274408,ENSG00000274408.1,146539541,146539663,1,RNA5SP536,ENSMUSG00000064631,n-R5s42,15,87169113,87169216,ortholog_one2one,1,
ENSG00000201142,ENSG00000201142.1,147079746,147079870,1,RNU1-151P,ENSMUSG00000089396,Gm23027,15,76036459,76036616,ortholog_one2many,0,
ENSG00000131791,ENSG00000131791.8,147155106,147172550,1,PRKAB2,ENSMUSG00000038205,Prkab2,3,97658193,97673812,ortholog_one2one,1,99.01
ENSG00000131781,ENSG00000131781.13,147175351,147243050,1,FMO5,ENSMUSG00000028088,Fmo5,3,97628804,97655282,ortholog_one2one,1,100.00
ENSG00000131778,ENSG00000131778.19,147242654,147295765,1,CHD1L,ENSMUSG00000028089,Chd1l,3,97560742,97610203,ortholog_one2one,1,99.87
ENSG00000116128,ENSG00000116128.11,147541501,147626216,1,BCL9,ENSMUSG00000038256,Bcl9,3,97203662,97297917,ortholog_one2one,1,100.00
ENSG00000162836,ENSG00000162836.12,147629652,147670524,1,ACP6,ENSMUSG00000028093,Acp6,3,97158777,97177299,ortholog_one2one,1,100.00
ENSG00000265107,ENSG00000265107.3,147756199,147773362,1,GJA5,ENSMUSG00000057123,Gja5,3,96904693,97077416,ortholog_one2one,1,100.00
ENSG00000121634,ENSG00000121634.6,147902795,147909269,1,GJA8,ENSMUSG00000049908,Gja8,3,96913566,96926020,ortholog_one2one,1,100.00
ENSG00000188092,ENSG00000188092.15,147928393,147993592,1,GPR89B,ENSMUSG00000028096,Gpr89,3,96868281,96905346,ortholog_one2many,1,100.00
ENSG00000206791,ENSG00000206791.1,148014417,148014583,1,RNU1-129P,ENSMUSG00000089396,Gm23027,15,76036459,76036616,ortholog_one2many,0,
ENSG00000201183,ENSG00000201183.1,148402715,148402875,1,RNVU1-3,ENSMUSG00000064485,Gm23735,14,72131088,72131221,ortholog_one2many,0,
ENSG00000177144,ENSG00000177144.7,148748894,148750099,1,NUDT4B,ENSMUSG00000020029,Nudt4,10,95547007,95564146,ortholog_one2many,0,0.00
ENSG00000178104,ENSG00000178104.19,148808181,149048286,1,PDE4DIP,ENSMUSG00000038170,Pde4dip,3,97689824,97888707,ortholog_one2one,1,100.00
ENSG00000222788,ENSG00000222788.1,148939739,148939817,1,RNU2-38P,ENSMUSG00000088991,Gm22768,13,112291121,112291273,ortholog_one2many,0,
ENSG00000206828,ENSG00000206828.1,149636766,149636929,1,RNVU1-30,ENSMUSG00000064485,Gm23735,14,72131088,72131221,ortholog_one2many,0,
ENSG00000150337,ENSG00000150337.13,149782671,149792518,1,FCGR1A,ENSMUSG00000015947,Fcgr1,3,96282909,96293969,ortholog_one2many,1,100.00
ENSG00000203814,ENSG00000203814.6,149782689,149812373,1,H2BC18,ENSMUSG00000105827,H2bc18,3,96269752,96270132,ortholog_one2one,1,96.56
ENSG00000183598,ENSG00000183598.4,149813225,149813693,1,H3C13,ENSMUSG00000081058,H3c15,3,96238108,96239127,ortholog_one2one,0,0.00
ENSG00000270882,ENSG00000270882.2,149832659,149839767,1,H4C14,ENSMUSG00000091405,H4c14,3,96261682,96263311,ortholog_one2one,1,100.00
ENSG00000272196,ENSG00000272196.2,149851061,149851624,1,H2AC19,ENSMUSG00000063954,H2ac19,3,96239749,96240276,ortholog_one2one,1,100.00
ENSG00000203852,ENSG00000203852.3,149852619,149854274,1,H3C15,ENSMUSG00000100210,H3c7,13,23544052,23545312,ortholog_one2one,0,0.00
ENSG00000184260,ENSG00000184260.6,149886918,149887411,1,H2AC20,ENSMUSG00000068855,H2ac20,3,96220361,96220880,ortholog_one2one,1,100.00
ENSG00000184270,ENSG00000184270.6,149887469,149887965,1,H2AC21,ENSMUSG00000063689,H2ac21,3,96219865,96220308,ortholog_one2one,1,100.00
ENSG00000178096,ENSG00000178096.9,149887890,149900798,1,BOLA1,ENSMUSG00000015943,Bola1,3,96196588,96219709,ortholog_one2one,1,100.00
ENSG00000159164,ENSG00000159164.10,149903318,149917844,1,SV2A,ENSMUSG00000038486,Sv2a,3,96181151,96195521,ortholog_one2one,1,100.00
ENSG00000143368,ENSG00000143368.10,149923317,149927803,1,SF3B4,ENSMUSG00000068856,Sf3b4,3,96172332,96177564,ortholog_one2one,1,100.00
ENSG00000014914,ENSG00000014914.21,149928651,149936879,1,MTMR11,ENSMUSG00000045934,Mtmr11,3,96162004,96171718,ortholog_one2one,1,100.00
ENSG00000264522,ENSG00000264522.6,149937812,150010726,1,OTUD7B,ENSMUSG00000038495,Otud7b,3,96104527,96161129,ortholog_one2one,1,100.00
ENSG00000136631,ENSG00000136631.15,150067279,150145329,1,VPS45,ENSMUSG00000015747,Vps45,3,95999832,96058466,ortholog_one2one,1,100.00
ENSG00000023902,ENSG00000023902.14,150149183,150164720,1,PLEKHO1,ENSMUSG00000015745,Plekho1,3,95988429,95996001,ortholog_one2one,1,100.00
ENSG00000143401,ENSG00000143401.15,150218417,150236156,1,ANP32E,ENSMUSG00000015749,Anp32e,3,95929246,95947390,ortholog_one2one,1,100.00
ENSG00000222222,ENSG00000222222.1,150236967,150237156,1,RNU2-17P,ENSMUSG00000064795,Gm22423,11,96083673,96083856,ortholog_one2many,0,
ENSG00000118298,ENSG00000118298.12,150257251,150265078,1,CA14,ENSMUSG00000038526,Car14,3,95897768,95904691,ortholog_one2one,1,100.00
ENSG00000117362,ENSG00000117362.13,150265399,150269580,1,APH1A,ENSMUSG00000015750,Aph1a,3,95893969,95898288,ortholog_one2one,1,100.00
ENSG00000118292,ENSG00000118292.9,150268200,150280916,1,C1orf54,ENSMUSG00000038543,BC028528,3,95883954,95892005,ortholog_one2one,1,79.95
ENSG00000159208,ENSG00000159208.16,150282543,150287093,1,CIART,ENSMUSG00000038550,Ciart,3,95878503,95882251,ortholog_one2one,1,100.00
ENSG00000266472,ENSG00000266472.6,150293861,150308979,1,MRPS21,ENSMUSG00000054312,Mrps21,3,95862634,95871519,ortholog_one2one,1,100.00
ENSG00000117360,ENSG00000117360.13,150321479,150353233,1,PRPF3,ENSMUSG00000015748,Prpf3,3,95830124,95855885,ortholog_one2one,1,100.00
ENSG00000163125,ENSG00000163125.15,150363091,150476566,1,RPRD2,ENSMUSG00000028106,Rprd2,3,95760341,95818863,ortholog_one2one,1,100.00
ENSG00000143374,ENSG00000143374.17,150487364,150507609,1,TARS2,ENSMUSG00000028107,Tars2,3,95739976,95760206,ortholog_one2one,1,100.00
ENSG00000143369,ENSG00000143369.15,150508062,150513789,1,ECM1,ENSMUSG00000028108,Ecm1,3,95734147,95739569,ortholog_one2one,1,100.00
ENSG00000143382,ENSG00000143382.15,150549369,150560937,1,ADAMTSL4,ENSMUSG00000015850,Adamtsl4,3,95676201,95687917,ortholog_one2one,1,100.00
ENSG00000143384,ENSG00000143384.13,150574551,150579738,1,MCL1,ENSMUSG00000038612,Mcl1,3,95658788,95663176,ortholog_one2one,1,100.00
ENSG00000253047,ENSG00000253047.1,150600539,150600659,1,AL356356.1,ENSMUSG00000089052,Gm23351,13,31427255,31427379,ortholog_one2one,1,
ENSG00000143420,ENSG00000143420.19,150600851,150629612,1,ENSA,ENSMUSG00000038619,Ensa,3,95624993,95632102,ortholog_one2one,1,97.54
ENSG00000276103,ENSG00000276103.1,150608507,150608623,1,U4,ENSMUSG00000084748,Gm25289,18,12163438,12163556,ortholog_one2one,0,
ENSG00000143457,ENSG00000143457.11,150646230,150697154,1,GOLPH3L,ENSMUSG00000046519,Golph3l,3,95588934,95619247,ortholog_one2one,1,100.00
ENSG00000143452,ENSG00000143452.16,150698060,150720895,1,HORMAD1,ENSMUSG00000028109,Hormad1,3,95559677,95587671,ortholog_one2one,1,100.00
ENSG00000163131,ENSG00000163131.11,150730188,150765792,1,CTSS,ENSMUSG00000038642,Ctss,3,95526786,95556403,ortholog_one2one,1,100.00
ENSG00000143387,ENSG00000143387.13,150796208,150808260,1,CTSK,ENSMUSG00000028111,Ctsk,3,95499256,95509362,ortholog_one2one,1,100.00
ENSG00000143437,ENSG00000143437.21,150809713,150876708,1,ARNT,ENSMUSG00000015522,Arnt,3,95434388,95497240,ortholog_one2one,1,100.00
ENSG00000283324,ENSG00000283324.1,150887136,150913292,1,CTXND2,ENSMUSG00000105734,4930558C23Rik,3,95386461,95402841,ortholog_one2one,1,100.00
ENSG00000143379,ENSG00000143379.12,150926263,150964744,1,SETDB1,ENSMUSG00000015697,Setdb1,3,95323525,95357202,ortholog_one2one,1,99.45
ENSG00000143418,ENSG00000143418.20,150960583,150975003,1,CERS2,ENSMUSG00000015714,Cers2,3,95314791,95323599,ortholog_one2one,1,100.00
ENSG00000143412,ENSG00000143412.10,150982249,150995634,1,ANXA9,ENSMUSG00000015702,Anxa9,3,95296096,95307176,ortholog_one2one,1,100.00
ENSG00000143409,ENSG00000143409.15,150996086,151008375,1,MINDY1,ENSMUSG00000038712,Mindy1,3,95281345,95296166,ortholog_one2one,1,100.00
ENSG00000143363,ENSG00000143363.17,151008420,151035713,1,PRUNE1,ENSMUSG00000015711,Prune1,3,95253674,95282076,ortholog_one2one,1,100.00
ENSG00000163141,ENSG00000163141.20,151036321,151047720,1,BNIPL,ENSMUSG00000028115,Bnipl,3,95241271,95251193,ortholog_one2one,1,100.00
ENSG00000143443,ENSG00000143443.10,151047751,151051986,1,C1orf56,ENSMUSG00000068860,Gm128,3,95236920,95241598,ortholog_one2one,1,100.00
ENSG00000197622,ENSG00000197622.13,151050971,151070325,1,CDC42SE1,ENSMUSG00000046722,Cdc42se1,3,95228732,95236409,ortholog_one2one,1,100.00
ENSG00000213190,ENSG00000213190.4,151060397,151069544,1,MLLT11,ENSMUSG00000053192,Mllt11,3,95219135,95232171,ortholog_one2one,1,100.00
ENSG00000143458,ENSG00000143458.12,151070578,151125542,1,GABPB2,ENSMUSG00000038766,Gabpb2,3,95181766,95217916,ortholog_one2one,1,100.00
ENSG00000143434,ENSG00000143434.16,151131685,151146664,1,SEMA6C,ENSMUSG00000038777,Sema6c,3,95160457,95174024,ortholog_one2one,1,100.00
ENSG00000163154,ENSG00000163154.6,151156649,151159749,1,TNFAIP8L2,ENSMUSG00000013707,Tnfaip8l2,3,95139521,95142360,ortholog_one2one,1,100.00
ENSG00000163156,ENSG00000163156.12,151156664,151170296,1,SCNM1,ENSMUSG00000092607,Scnm1,3,95129536,95134011,ortholog_one2one,1,100.00
ENSG00000163155,ENSG00000163155.12,151159748,151165948,1,LYSMD1,ENSMUSG00000053769,Lysmd1,3,95134088,95139518,ortholog_one2one,1,100.00
ENSG00000163157,ENSG00000163157.15,151169986,151176284,1,TMOD4,ENSMUSG00000005628,Tmod4,3,95124476,95129209,ortholog_one2one,1,100.00
ENSG00000163159,ENSG00000163159.14,151176304,151195321,1,VPS72,ENSMUSG00000008958,Vps72,3,95111022,95123051,ortholog_one2one,1,100.00
ENSG00000143398,ENSG00000143398.20,151197949,151249536,1,PIP5K1A,ENSMUSG00000028126,Pip5k1a,3,95058530,95106930,ortholog_one2one,1,99.97
ENSG00000159352,ENSG00000159352.16,151254709,151267479,1,PSMD4,ENSMUSG00000005625,Psmd4,3,95032694,95042614,ortholog_one2one,1,100.00
ENSG00000143373,ENSG00000143373.18,151281618,151292176,1,ZNF687,ENSMUSG00000019338,Zfp687,3,95006590,95015448,ortholog_one2one,1,100.00
ENSG00000143393,ENSG00000143393.16,151291797,151327715,1,PI4KB,ENSMUSG00000038861,Pi4kb,3,94974731,95006843,ortholog_one2one,1,100.00
ENSG00000143390,ENSG00000143390.17,151340640,151347357,1,RFX5,ENSMUSG00000005774,Rfx5,3,94954075,94961561,ortholog_one2one,1,100.00
ENSG00000143416,ENSG00000143416.21,151364304,151372707,1,SELENBP1,ENSMUSG00000068877,Selenbp2,3,94693556,94704413,ortholog_one2many,0,0.00
ENSG00000143416,ENSG00000143416.21,151364304,151372707,1,SELENBP1,ENSMUSG00000068874,Selenbp1,3,94933056,94944758,ortholog_one2many,1,100.00
ENSG00000159377,ENSG00000159377.11,151399560,151401937,1,PSMB4,ENSMUSG00000005779,Psmb4,3,94884093,94886961,ortholog_one2one,1,100.00
ENSG00000143442,ENSG00000143442.22,151402724,151459494,1,POGZ,ENSMUSG00000038902,Pogz,3,94837567,94882326,ortholog_one2one,1,100.00
ENSG00000143375,ENSG00000143375.15,151510510,151538692,1,CGN,ENSMUSG00000068876,Cgn,3,94760069,94786515,ortholog_one2one,1,76.85
ENSG00000252840,ENSG00000252840.1,151527831,151527938,1,AL365436.3,ENSMUSG00000089069,Gm22840,6,93890615,93890750,ortholog_one2one,0,
ENSG00000143367,ENSG00000143367.16,151540305,151583583,1,TUFT1,ENSMUSG00000005968,Tuft1,3,94612757,94658872,ortholog_one2one,1,100.00
ENSG00000143376,ENSG00000143376.14,151612006,151699091,1,SNX27,ENSMUSG00000028136,Snx27,3,94497544,94582716,ortholog_one2one,1,99.94
ENSG00000206635,ENSG00000206635.1,151629324,151629430,1,RNU6-1062P,ENSMUSG00000088910,Gm22608,11,68908020,68908122,ortholog_one2many,0,
ENSG00000159409,ENSG00000159409.15,151700058,151716803,1,CELF3,ENSMUSG00000028137,Celf3,3,94478295,94492198,ortholog_one2one,1,100.00
ENSG00000178796,ENSG00000178796.13,151710433,151729805,1,RIIAD1,ENSMUSG00000028139,Riiad1,3,94464983,94480341,ortholog_one2one,1,100.00
ENSG00000143436,ENSG00000143436.11,151759647,151763496,1,MRPL9,ENSMUSG00000028140,Mrpl9,3,94443318,94451130,ortholog_one2one,1,100.00
ENSG00000143450,ENSG00000143450.17,151762899,151771334,1,OAZ3,ENSMUSG00000028141,Oaz3,3,94432414,94443915,ortholog_one2one,1,100.00
ENSG00000182134,ENSG00000182134.16,151770107,151791416,1,TDRKH,ENSMUSG00000041912,Tdrkh,3,94413273,94434668,ortholog_one2one,1,100.00
ENSG00000213171,ENSG00000213171.3,151800264,151805419,1,LINGO4,ENSMUSG00000044505,Lingo4,3,94398517,94404501,ortholog_one2one,1,100.00
ENSG00000143365,ENSG00000143365.19,151806071,151831845,1,RORC,ENSMUSG00000028150,Rorc,3,94372794,94398276,ortholog_one2one,1,100.00
ENSG00000225556,ENSG00000225556.1,151837819,151840557,1,C2CD4D,ENSMUSG00000091648,C2cd4d,3,94362438,94364566,ortholog_one2one,1,100.00
ENSG00000196407,ENSG00000196407.12,151847101,151853712,1,THEM5,ENSMUSG00000028148,Them5,3,94342099,94347352,ortholog_one2one,1,100.00
ENSG00000159445,ENSG00000159445.13,151870866,151909637,1,THEM4,ENSMUSG00000028145,Them4,3,94310089,94332540,ortholog_one2one,1,100.00
ENSG00000197747,ENSG00000197747.9,151982915,151993859,1,S100A10,ENSMUSG00000041959,S100a10,3,93555080,93564643,ortholog_one2one,1,100.00
ENSG00000163191,ENSG00000163191.6,152032506,152047907,1,S100A11,ENSMUSG00000027907,S100a11,3,93520488,93526287,ortholog_one2one,1,100.00
ENSG00000182898,ENSG00000182898.4,152084141,152089064,1,TCHHL1,ENSMUSG00000027908,Tchhl1,3,93468754,93471980,ortholog_one2one,0,90.01
ENSG00000159450,ENSG00000159450.12,152106317,152115454,1,TCHH,ENSMUSG00000052415,Tchh,3,93442330,93449077,ortholog_one2one,0,97.90
ENSG00000215853,ENSG00000215853.3,152153595,152159228,1,RPTN,ENSMUSG00000041984,Rptn,3,93393699,93399442,ortholog_one2one,0,93.13
ENSG00000197915,ENSG00000197915.7,152212076,152224193,1,HRNR,ENSMUSG00000041991,Hrnr,3,93319749,93333570,ortholog_one2one,0,97.88
ENSG00000143631,ENSG00000143631.11,152302165,152325239,1,FLG,ENSMUSG00000102439,Flg,3,93273523,93293686,ortholog_one2one,0,95.76
ENSG00000143520,ENSG00000143520.6,152348735,152360006,1,FLG2,ENSMUSG00000049133,Flg2,3,93197278,93221391,ortholog_one2one,0,82.97
ENSG00000143536,ENSG00000143536.7,152409243,152414263,1,CRNN,ENSMUSG00000078657,Crnn,3,93144787,93149819,ortholog_one2one,1,99.17
ENSG00000186207,ENSG00000186207.5,152510803,152512177,1,LCE5A,ENSMUSG00000068889,Lce1e,3,92707401,92709074,ortholog_one2many,0,0.00
ENSG00000186207,ENSG00000186207.5,152510803,152512177,1,LCE5A,ENSMUSG00000027919,Lce1g,3,92750148,92752338,ortholog_one2many,0,0.00
ENSG00000198854,ENSG00000198854.5,152719522,152720470,1,C1orf68,ENSMUSG00000090314,2310050C09Rik,3,92868359,92870216,ortholog_one2one,1,100.00
ENSG00000203786,ENSG00000203786.6,152759561,152762052,1,KPRP,ENSMUSG00000059832,Kprp,3,92823074,92827247,ortholog_one2one,1,97.81
ENSG00000285946,ENSG00000285946.1,152859996,152860985,1,AL162596.1,ENSMUSG00000103523,2210017I01Rik,3,92604718,92607492,ortholog_one2one,1,100.00
ENSG00000184148,ENSG00000184148.4,152970648,152972574,1,SPRR4,ENSMUSG00000045566,Sprr4,3,92500263,92500493,ortholog_one2one,1,100.00
ENSG00000163209,ENSG00000163209.15,153001747,153003856,1,SPRR3,ENSMUSG00000045539,Sprr3,3,92456502,92458720,ortholog_one2one,0,91.92
ENSG00000203784,ENSG00000203784.3,153203430,153205120,1,LELP1,ENSMUSG00000027927,Lelp1,3,92134997,92142744,ortholog_one2one,0,100.00
ENSG00000203783,ENSG00000203783.5,153217584,153219310,1,PRR9,ENSMUSG00000056270,Prr9,3,92122204,92123947,ortholog_one2one,1,100.00
ENSG00000159527,ENSG00000159527.3,153297862,153310718,1,PGLYRP3,ENSMUSG00000042244,Pglyrp3,3,92014583,92031582,ortholog_one2one,1,100.00
ENSG00000163218,ENSG00000163218.15,153330120,153348841,1,PGLYRP4,ENSMUSG00000042250,Pglyrp4,3,90726906,90741517,ortholog_one2one,1,100.00
ENSG00000207321,ENSG00000207321.1,153331622,153331728,1,RNU6-160P,ENSMUSG00000064876,Gm23378,X,104001373,104001479,ortholog_many2many,1,
ENSG00000207321,ENSG00000207321.1,153331622,153331728,1,RNU6-160P,ENSMUSG00000096085,Gm24465,1,98049822,98049928,ortholog_many2many,1,
ENSG00000163220,ENSG00000163220.11,153357854,153361023,1,S100A9,ENSMUSG00000096621,Gm5849,3,90775819,90777880,ortholog_one2one,0,30.87
ENSG00000143546,ENSG00000143546.10,153390032,153391073,1,S100A8,ENSMUSG00000056054,S100a8,3,90668978,90670035,ortholog_one2one,1,100.00
ENSG00000197956,ENSG00000197956.10,153534599,153536244,1,S100A6,ENSMUSG00000001025,S100a6,3,90612882,90624181,ortholog_one2one,1,100.00
ENSG00000196420,ENSG00000196420.7,153537147,153541765,1,S100A5,ENSMUSG00000001023,S100a5,3,90608523,90611780,ortholog_one2one,1,100.00
ENSG00000196154,ENSG00000196154.12,153543613,153550136,1,S100A4,ENSMUSG00000001020,S100a4,3,90603771,90606045,ortholog_one2one,1,100.00
ENSG00000188015,ENSG00000188015.10,153547329,153549258,1,S100A3,ENSMUSG00000001021,S100a3,3,90584659,90602702,ortholog_one2many,1,100.00
ENSG00000188015,ENSG00000188015.10,153547329,153549258,1,S100A3,ENSMUSG00000105518,Gm42674,3,90601904,90605885,ortholog_one2many,0,91.43
ENSG00000196754,ENSG00000196754.13,153561108,153567890,1,S100A2,ENSMUSG00000094018,S100a2,3,90560363,90591531,ortholog_one2one,0,99.67
ENSG00000188643,ENSG00000188643.11,153606886,153613145,1,S100A16,ENSMUSG00000074457,S100a16,3,90537254,90543151,ortholog_one2one,1,100.00
ENSG00000189334,ENSG00000189334.9,153614255,153616986,1,S100A14,ENSMUSG00000042306,S100a14,3,90526856,90528837,ortholog_one2one,1,100.00
ENSG00000189171,ENSG00000189171.14,153618787,153631360,1,S100A13,ENSMUSG00000042312,S100a13,3,90514435,90524581,ortholog_one2one,1,100.00
ENSG00000160678,ENSG00000160678.12,153627926,153632039,1,S100A1,ENSMUSG00000044080,S100a1,3,90511034,90514392,ortholog_one2one,1,100.00
ENSG00000160679,ENSG00000160679.13,153633982,153646306,1,CHTOP,ENSMUSG00000001017,Chtop,3,90498956,90509498,ortholog_one2one,1,100.00
ENSG00000143553,ENSG00000143553.11,153658703,153661852,1,SNAPIN,ENSMUSG00000001018,Snapin,3,90488026,90491033,ortholog_one2one,1,100.00
ENSG00000143621,ENSG00000143621.17,153661788,153671028,1,ILF2,ENSMUSG00000001016,Ilf2,3,90476126,90488379,ortholog_one2one,1,100.00
ENSG00000169418,ENSG00000169418.10,153678688,153693992,1,NPR1,ENSMUSG00000027931,Npr1,3,90450591,90465866,ortholog_one2one,1,100.00
